I,A,B,C,D,E,F,G,H
11,0.140256237,0.056841046,0.054939516,0.056338028,0.057692308,0.034090909,0.02972028,0.011466011
11,0.10991234,0.056841046,0.117943548,0.056338028,0.019230769,0.034090909,0.038461538,0.02047502
11,0.10991234,0.056841046,0.243951613,0.112676056,0.019230769,0.034090909,0.052447552,0.048321048
11,0.005394471,0.056841046,0.180947581,0.056338028,0.019230769,0.022727273,0.037587413,0.034398034
11,0,0.11971831,0.243951613,0.056338028,0.115384615,0.068181818,0.082167832,0.068796069
12,1,0.018108652,0.007686492,0,0,0,0.005244755,0.000819001
12,0.527983817,0.018108652,0.0234375,0,0,0,0.012237762,0.002457002
12,0.022252192,0.056841046,0.117943548,0.056338028,0.057692308,0.034090909,0.034090909,0.022113022
13,0.022252192,0.056841046,0.243951613,0.169014085,0.019230769,0.034090909,0.055944056,0.053235053
13,0.022252192,0.245472837,0.243951613,0.338028169,0.019230769,0.056818182,0.113636364,0.090909091
13,0.055967633,0.025402414,0.117943548,0.169014085,0.038461538,0.034090909,0.017482517,0.023751024
14,0.022252192,0.056841046,0.243951613,0.084507042,0.057692308,0.090909091,0.034090909,0.051597052
14,0.022252192,0.056841046,0.243951613,0.169014085,0.115384615,0.090909091,0.051573427,0.058149058
14,0.066082266,0.056841046,0.054939516,0.014084507,0.019230769,0.028409091,0.02972028,0.00982801
14,0.050573163,0.056841046,0.117943548,0.225352113,0.019230769,0.034090909,0.047202797,0.029484029
14,0.039109912,0.11971831,0.243951613,0.112676056,0.019230769,0.034090909,0.052447552,0.056511057
14,0.02899528,0.056841046,0.243951613,0.450704225,0.096153846,0.045454545,0.059440559,0.073710074
14,0.022252192,0.11971831,0.243951613,0.450704225,0.096153846,0.056818182,0.091783217,0.083538084
14,0.037086986,0.056841046,0.117943548,0.112676056,0.115384615,0.045454545,0.086538462,0.025389025
14,0.015509103,0.245472837,0.495967742,0.450704225,0.153846154,0.136363636,0.236888112,0.203931204
14,0.014160486,0.496981891,0.495967742,0.901408451,0.307692308,0.181818182,0.440559441,0.334971335
15,0.014160486,0.245472837,0.495967742,0.450704225,0.153846154,0.136363636,0.27972028,0.204750205
15,0.064059339,0.025402414,0.007686492,0,0.019230769,0.022727273,0.001748252,0.001638002
15,0.026298045,0.025402414,0.054939516,0,0.019230769,0.034090909,0.009615385,0.007371007
15,0.026298045,0.056841046,0.117943548,0,0.019230769,0.045454545,0.015734266,0.01965602
15,0.026298045,0.11971831,0.180947581,0,0.019230769,0.045454545,0.031468531,0.036855037
15,0.014160486,0.11971831,0.117943548,0.225352113,0.307692308,0.181818182,0.039335664,0.051597052
16,0.014160486,0.245472837,0.243951613,0.450704225,0.076923077,0.045454545,0.082167832,0.102375102
16,0.014160486,0.11971831,0.243951613,0.901408451,0.307692308,0.181818182,0.18006993,0.141687142
16,0.096426163,0.010060362,0.0234375,0.014084507,0.057692308,0.045454545,0.022727273,0.002457002
17,0.096426163,0.025402414,0.117943548,0.112676056,0.019230769,0.079545455,0.047202797,0.021294021
17,0.15037087,0.010060362,0.007686492,0.056338028,0.019230769,0.017045455,0,0.001638002
17,0.059339177,0.056841046,0.054939516,0.056338028,0.057692308,0.045454545,0.013986014,0.011466011
17,0.059339177,0.056841046,0.117943548,0.112676056,0.076923077,0.079545455,0.045454545,0.024570025
17,0.035738368,0.11971831,0.180947581,0.056338028,0.115384615,0.045454545,0.060314685,0.040950041
17,0.028320971,0.245472837,0.243951613,0.450704225,0.230769231,0.136363636,0.159090909,0.108108108
18,0.00606878,0.245472837,0.495967742,0.450704225,0.230769231,0.090909091,0.211538462,0.211302211
18,0.066756575,0.056841046,0.117943548,0.225352113,0.096153846,0.159090909,0.055944056,0.031941032
18,0.022252192,0.056841046,0.495967742,0.338028169,0.5,0.295454545,0.176573427,0.171990172
18,0.022252192,0.11971831,0.495967742,0.788732394,1,0.590909091,0.341783217,0.280917281
18,0.008766015,0.245472837,1,0.901408451,0.230769231,1,1,0.787059787
18,0.10991234,0.010060362,0.054939516,0,0.019230769,0.017045455,0.006993007,0.005733006
18,0.10991234,0.010060362,0.054939516,0,0.019230769,0.017045455,0.013111888,0.005733006
