O,A,B,C,D,E,F,G,H
9,0.1908294,0.042253521,0.180947581,0.0234375,0.115384615,0.136363636,0.04840484,0.040929204
9,0.1908294,0.018108652,0.180947581,0.0234375,0.019230769,0.136363636,0.051705171,0.038716814
9,0.10991234,0.042253521,0.180947581,0.0234375,0.019230769,0.176136364,0.085808581,0.042035398
10,0.1908294,0.056841046,0.054939516,0.03125,0.057692308,0.363636364,0.03520352,0.01659292
10,0.211058665,0.056841046,0.0234375,0,0.019230769,0.011363636,0.0110011,0.005530973
10,0.082939987,0.11971831,0.054939516,0,0.057692308,0.034090909,0.02530253,0.014380531
10,0.082939987,0.11971831,0.054939516,0.03125,0.019230769,0.113636364,0.03190319,0.01880531
10,0.082939987,0.11971831,0.117943548,0.125,0.019230769,0.306818182,0.066006601,0.046460177
10,0.082939987,0.11971831,0.495967742,0.125,0.019230769,0.306818182,0.201320132,0.183628319
11,0.026972353,0.245472837,0.243951613,0.00390625,0.115384615,0.068181818,0.138613861,0.074115044
11,0.00606878,1,0.495967742,0.25,0.307692308,0.136363636,0.504950495,0.382743363
11,0.00606878,0.496981891,0.495967742,0,0.153846154,0.136363636,0.298129813,0.226769912
11,0.31220499,0,0,0,0.019230769,0.005681818,0,0
11,0.066082266,0.026156942,0.086441532,0.0625,0.019230769,0.034090909,0.04290429,0.022123894
11,0.730276467,0.042253521,0.0234375,0,0.019230769,0.005681818,0.00770077,0.005530973
11,0.258260283,0.11971831,0.054939516,0,0.019230769,0.005681818,0.02860286,0.014380531
11,0.5954147,0.056841046,0.007686492,0,0.019230769,0.011363636,0.00550055,0.003318584
11,0.5954147,0.056841046,0.054939516,0.015625,0.019230769,0.011363636,0.01320132,0.012168142
11,0.5954147,0.11971831,0.054939516,0,0.057692308,0.034090909,0.03410341,0.014380531
11,0.140256237,0.11971831,0.054939516,0.03125,0.057692308,0.034090909,0.03080308,0.017699115
11,0.113283884,0.11971831,0.243951613,0.0625,0.019230769,0.034090909,0.077007701,0.067477876
11,0.140256237,0.056841046,0.054939516,0.0078125,0.057692308,0.034090909,0.01980198,0.012168142
11,0.005394471,0.11971831,0.180947581,0.0625,0.057692308,0.028409091,0.066006601,0.055309735
11,0,0.245472837,0.243951613,0.125,0.115384615,0.068181818,0.139713971,0.111725664
11,1,0.042253521,0.0234375,0,0,0,0.01320132,0.005530973
12,0.022252192,0.11971831,0.054939516,0,0.057692308,0.034090909,0.02310231,0.01659292
12,0.022252192,0.11971831,0.117943548,0.03125,0.019230769,0.034090909,0.055005501,0.032079646
12,0.022252192,0.11971831,0.243951613,0.09375,0.019230769,0.034090909,0.081408141,0.074115044
13,0.055967633,0.056841046,0.117943548,0,0.038461538,0.034090909,0.0110011,0.024336283
13,0.055967633,0.056841046,0.117943548,0.09375,0.057692308,0.034090909,0.02860286,0.034292035
13,0.022252192,0.11971831,0.243951613,0.09375,0.115384615,0.090909091,0.052805281,0.080752212
14,0.066082266,0.11971831,0.117943548,0.0625,0.019230769,0.017045455,0.04840484,0.034292035
14,0.050573163,0.11971831,0.117943548,0.125,0.019230769,0.034090909,0.061606161,0.042035398
14,0.050573163,0.11971831,0.117943548,0.015625,0.019230769,0.034090909,0.04840484,0.028761062
14,0.02899528,0.245472837,0.243951613,0.125,0.019230769,0.034090909,0.088008801,0.088495575
14,0.02899528,0.245472837,0.243951613,0.25,0.096153846,0.045454545,0.095709571,0.112831858
14,0.037086986,0.245472837,0.243951613,0.25,0.153846154,0.090909091,0.150715072,0.116150442
14,0.015509103,0.496981891,0.243951613,0.125,0.153846154,0.090909091,0.228822882,0.122787611
14,0.012137559,0.496981891,0.495967742,0.25,0.153846154,0.136363636,0.400440044,0.282079646
14,0.020903574,0.245472837,0.369959677,0.125,0.153846154,0.136363636,0.228822882,0.150442478
14,0.008766015,1,0.495967742,1,0.307692308,0.136363636,0.554455446,0.650442478
15,0.045178692,0.056841046,0.0234375,0,0.019230769,0.034090909,0.00660066,0.006637168
15,0.026298045,0.11971831,0.086441532,0,0.019230769,0.045454545,0.01650165,0.022123894
15,0.026298045,0.245472837,0.117943548,0,0.019230769,0.045454545,0.03080308,0.03539823
15,0.026298045,0.245472837,0.243951613,0,0.019230769,0.045454545,0.0440044,0.069690265
15,0.014160486,0.245472837,0.117943548,0.125,0.307692308,0.181818182,0.121012101,0.071902655
15,0.014160486,0.496981891,0.369959677,0.625,0.076923077,0.045454545,0.147414741,0.294247788
16,0.096426163,0.026156942,0.054939516,0.0078125,0.019230769,0.028409091,0.02640264,0.011061947
16,0.096426163,0.056841046,0.054939516,0.03125,0.019230769,0.079545455,0.03520352,0.015486726
16,0.096426163,0.11971831,0.117943548,0.125,0.019230769,0.073863636,0.113311331,0.042035398
17,0.15037087,0.026156942,0.0234375,0.03125,0.019230769,0.028409091,0.00550055,0.007743363
17,0.059339177,0.11971831,0.086441532,0.0625,0.115384615,0.090909091,0.02970297,0.028761062
17,0.023600809,0.245472837,0.243951613,0.125,0.076923077,0.068181818,0.136413641,0.092920354
17,0.028320971,0.245472837,0.180947581,0.125,0.115384615,0.068181818,0.117711771,0.07300885
17,0.00606878,0.496981891,0.369959677,0.125,0.153846154,0.090909091,0.183718372,0.185840708
17,0.00606878,0.496981891,0.495967742,0.5,0.461538462,0.181818182,0.438943894,0.405973451
18,0.022252192,0.11971831,0.495967742,0.09375,0.115384615,0.147727273,0.118811881,0.184734513
18,0.022252192,0.11971831,0.495967742,0.4375,1,0.590909091,0.331133113,0.360619469
18,0.008766015,0.496981891,1,0.375,0.230769231,1,1,1
18,0.10991234,0.010437626,0.054939516,0,0.019230769,0.017045455,0.00660066,0.009955752
18,0.10991234,0.010437626,0.054939516,0,0.019230769,0.017045455,0.01320132,0.009955752
18,0.072151045,0.056841046,0.117943548,0,0.019230769,0.045454545,0.03960396,0.024336283
18,0.054619016,0.056841046,0.117943548,0.125,0.038461538,0.045454545,0.0440044,0.038716814
